track_name,track_artist,track_popularity,id,playlist_genre,uri,duration_ms,acousticness,energy
Die With A Smile,"Lady Gaga, Bruno Mars",100,2plbrEY59IikOBgBGLjaoe,pop,spotify:track:2plbrEY59IikOBgBGLjaoe,251668,0.308,0.592
BIRDS OF A FEATHER,Billie Eilish,97,6dOtVTDdiauQNBQEDOtlAB,pop,spotify:track:6dOtVTDdiauQNBQEDOtlAB,210373,0.2,0.507
That’s So True,Gracie Abrams,93,7ne4VBA60CxGM75vw0EYad,pop,spotify:track:7ne4VBA60CxGM75vw0EYad,166300,0.214,0.808
Taste,Sabrina Carpenter,81,1d7Ptw3qYcfpdLNL5REhtJ,pop,spotify:track:1d7Ptw3qYcfpdLNL5REhtJ,157280,0.0939,0.91
APT.,"ROSÉ, Bruno Mars",98,5vNRhkKd0yEAg8suGBpjeY,pop,spotify:track:5vNRhkKd0yEAg8suGBpjeY,169917,0.0283,0.783
"Good Luck, Babe!",Chappell Roan,94,0WbMK4wrZ1wFSty9F7FCgu,pop,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,218424,0.0502,0.582
Diet Pepsi,Addison Rae,88,6MzofobZt2dm0Kf1hTThFz,pop,spotify:track:6MzofobZt2dm0Kf1hTThFz,169698,0.495,0.561
WILDFLOWER,Billie Eilish,93,3QaPy1KgI7nu9FJEQUgn6h,pop,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,261467,0.612,0.247
Sailor Song,Gigi Perez,71,0UYnhUfnUj5adChuAXvLUB,pop,spotify:track:0UYnhUfnUj5adChuAXvLUB,211979,0.686,0.416
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",92,1Es7AUAhQvapIcoh3qMKDL,pop,spotify:track:1Es7AUAhQvapIcoh3qMKDL,256000,0.0584,0.722
Guess featuring billie eilish,"Charli xcx, Billie Eilish",85,3WOhcATHxK2SLNeP5W3v1v,pop,spotify:track:3WOhcATHxK2SLNeP5W3v1v,145219,0.0146,0.667
Please Please Please,Sabrina Carpenter,88,5N3hjp1WNayUPZrA8kJmJP,pop,spotify:track:5N3hjp1WNayUPZrA8kJmJP,186365,0.274,0.586
2 hands,Tate McRae,79,1f18HzFpegqvH4ibGJyeMJ,pop,spotify:track:1f18HzFpegqvH4ibGJyeMJ,181821,0.121,0.806
A Bar Song (Tipsy),Shaboozey,86,2FQrifJ1N335Ljm3TjTVVf,pop,spotify:track:2FQrifJ1N335Ljm3TjTVVf,171292,0.0633,0.709
HOT TO GO!,Chappell Roan,88,4xdBrk0nFZaP54vvZj0yx7,pop,spotify:track:4xdBrk0nFZaP54vvZj0yx7,184841,0.0187,0.757
Disease,Lady Gaga,86,19KlZwqlT3fguP2BeHF1Q1,pop,spotify:track:19KlZwqlT3fguP2BeHF1Q1,229997,0.0513,0.917
Moonlit Floor (Kiss Me),LISA,82,5G345YEhvleYxQLfYUlEFv,pop,spotify:track:5G345YEhvleYxQLfYUlEFv,155757,0.126,0.787
Love Somebody,Morgan Wallen,86,7hR22TOX3RorxJPcsz5Wbo,pop,spotify:track:7hR22TOX3RorxJPcsz5Wbo,204829,0.00948,0.843
"I Love You, I'm Sorry",Gracie Abrams,90,51rfRCiUSvxXlCSCfIztBy,pop,spotify:track:51rfRCiUSvxXlCSCfIztBy,157147,0.656,0.406
Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",86,1BJJbSX6muJVF2AK7uH1x4,pop,spotify:track:1BJJbSX6muJVF2AK7uH1x4,177599,0.0563,0.782
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",88,3tFed7YsjGnIfxeLEQwx3R,pop,spotify:track:3tFed7YsjGnIfxeLEQwx3R,255916,0.285,0.812
Espresso,Sabrina Carpenter,90,2qSkIjg1o9h3YT9RAgYN75,pop,spotify:track:2qSkIjg1o9h3YT9RAgYN75,175459,0.107,0.76
Mantra,JENNIE,89,2CspwnypzT7rcWI9RfsoSb,pop,spotify:track:2CspwnypzT7rcWI9RfsoSb,136627,0.00434,0.725
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",82,0l0vcZMU7AOeQmUIREoI2U,pop,spotify:track:0l0vcZMU7AOeQmUIREoI2U,182857,0.528,0.563
NEW DROP,Don Toliver,85,2c7z5oRcPBbqRaBY2mLWcf,pop,spotify:track:2c7z5oRcPBbqRaBY2mLWcf,217333,0.189,0.628
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",84,7221xIgOnuakPdLqT0F3nP,pop,spotify:track:7221xIgOnuakPdLqT0F3nP,178206,0.00757,0.855
Too Sweet,Hozier,77,4IadxL6BUymXlh8RCJJu7T,pop,spotify:track:4IadxL6BUymXlh8RCJJu7T,251424,0.0295,0.62
No One Noticed,The Marías,84,3siwsiaEoU4Kuuc9WKMUy5,pop,spotify:track:3siwsiaEoU4Kuuc9WKMUy5,236907,0.552,0.339
Tu Boda,"Oscar Maydon, Fuerza Regida",93,1cOboCuWYI2osTOfolMRS6,pop,spotify:track:1cOboCuWYI2osTOfolMRS6,225881,0.496,0.651
Stargazing,Myles Smith,88,3Vr3zh0r7ALn8VLqCiRR10,pop,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,172533,0.246,0.601
WHATCHU KNO ABOUT ME (with Sexyy Red),"GloRilla, Sexyy Red",70,4VI2Y5xg4gYynQqNQNQbTN,pop,spotify:track:4VI2Y5xg4gYynQqNQNQbTN,149461,0.00586,0.691
we can't be friends (wait for your love),Ariana Grande,81,46kspZSY3aKmwQe7O77fCC,pop,spotify:track:46kspZSY3aKmwQe7O77fCC,228639,0.0615,0.646
Beautiful Things,Benson Boone,85,6tNQ70jh4OwmPGpYy6R2o9,pop,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,180304,0.151,0.471
DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",84,0qeIFEGRQqHoaJtLCl0U73,pop,spotify:track:0qeIFEGRQqHoaJtLCl0U73,130880,0.0501,0.709
Touch,KATSEYE,85,6aJn7Cst74cj4lNIiPRgav,pop,spotify:track:6aJn7Cst74cj4lNIiPRgav,129883,0.549,0.904
Lose Control,Teddy Swims,89,17phhZDn6oGtzMe56NuWvj,pop,spotify:track:17phhZDn6oGtzMe56NuWvj,210689,0.199,0.604
Belong Together,Mark Ambor,82,5uQ7de4EWjb3rkcFxyEOpu,pop,spotify:track:5uQ7de4EWjb3rkcFxyEOpu,148318,0.491,0.668
Si Antes Te Hubiera Conocido,KAROL G,93,6WatFBLVB0x077xWeoVc2k,pop,spotify:track:6WatFBLVB0x077xWeoVc2k,195824,0.446,0.668
End of Beginning,Djo,89,3qhlB30KknSejmIvZZLjOD,pop,spotify:track:3qhlB30KknSejmIvZZLjOD,159246,0.0351,0.454
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",84,2OzhQlSqBEmt7hmkYxfT6m,pop,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,228965,0.502,0.386
Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",89,0Sr7ssScx54yxdM2ols7nW,pop,spotify:track:0Sr7ssScx54yxdM2ols7nW,223320,0.103,0.681
Not Like Us,Kendrick Lamar,88,6AI3ezQ4o3HUoP6Dhudph3,pop,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,274192,0.0107,0.472
Running Wild,Jin,85,4p7DTkyrKqT98xlIwYYfXz,pop,spotify:track:4p7DTkyrKqT98xlIwYYfXz,151647,0.000175,0.711
+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",84,3mg9jYNC1NihbthlglzrWP,pop,spotify:track:3mg9jYNC1NihbthlglzrWP,298131,0.221,0.712
Embrace It,Ndotz,87,0io16MKpbeDIdYzmGpQaES,pop,spotify:track:0io16MKpbeDIdYzmGpQaES,104419,0.475,0.645
The Emptiness Machine,Linkin Park,89,2PnlsTsOTLE5jnBnNe2K0A,pop,spotify:track:2PnlsTsOTLE5jnBnNe2K0A,190428,0.0156,0.872
Who,Jimin,92,7tI8dRuH2Yc6RuoTjxo4dU,pop,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,170888,0.00289,0.756
Hotel California - 2013 Remaster,Eagles,81,40riOy7x9W7GXjyGp4pjAv,rock,spotify:track:40riOy7x9W7GXjyGp4pjAv,391376,0.00574,0.508
Thunderstruck,AC/DC,83,57bgtoPSgt236HzfBOd8kj,rock,spotify:track:57bgtoPSgt236HzfBOd8kj,292880,0.000147,0.89
Seven Nation Army,The White Stripes,82,3dPQuX8Gs42Y7b454ybpMR,rock,spotify:track:3dPQuX8Gs42Y7b454ybpMR,232107,0.0039,0.446
Creep,Radiohead,86,70LcF31zb1H0PyJoS1Sx1r,rock,spotify:track:70LcF31zb1H0PyJoS1Sx1r,238640,0.0097,0.43
Come As You Are,Nirvana,76,4P5KoWXOxwuobLmHXLMobV,rock,spotify:track:4P5KoWXOxwuobLmHXLMobV,218920,0.00016,0.824
Californication,Red Hot Chili Peppers,81,48UPSzbZjgc449aqz8bxox,rock,spotify:track:48UPSzbZjgc449aqz8bxox,329733,0.0021,0.767
Sweet Child O' Mine,Guns N' Roses,84,7snQQk1zcKl8gZ92AnueZW,rock,spotify:track:7snQQk1zcKl8gZ92AnueZW,356067,0.09,0.952
"Paint It, Black",The Rolling Stones,81,63T7DJ1AFDD6Bn8VzG6JE8,rock,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,202267,0.0493,0.795
Dreams - 2004 Remaster,Fleetwood Mac,84,0ofHAoxe9vBkTCp2UQIavz,rock,spotify:track:0ofHAoxe9vBkTCp2UQIavz,257800,0.0644,0.492
Everlong,Foo Fighters,81,5UWwZ5lm5PKu6eKsHAGxOk,rock,spotify:track:5UWwZ5lm5PKu6eKsHAGxOk,250547,5.99e-05,0.881
I Love Rock 'N Roll,Joan Jett & the Blackhearts,77,2Cdvbe2G4hZsnhNMKyGrie,rock,spotify:track:2Cdvbe2G4hZsnhNMKyGrie,175173,0.326,0.716
Dust in the Wind,Kansas,79,6zeE5tKyr8Nu882DQhhSQI,rock,spotify:track:6zeE5tKyr8Nu882DQhhSQI,206267,0.367,0.322
"Another Brick in the Wall, Pt. 2",Pink Floyd,74,4gMgiXfqyzZLMhsksGmbQV,rock,spotify:track:4gMgiXfqyzZLMhsksGmbQV,238747,0.0782,0.394
Runaway,Bon Jovi,72,0X1sqQ652p1sceKM2nJlIJ,rock,spotify:track:0X1sqQ652p1sceKM2nJlIJ,230667,0.00375,0.899
Basket Case,Green Day,80,6L89mwZXSOwYl76YXfX13s,rock,spotify:track:6L89mwZXSOwYl76YXfX13s,181533,0.00293,0.943
Under the Bridge,Red Hot Chili Peppers,82,3d9DChrdc6BOeFsbrZ3Is0,rock,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,264307,0.0576,0.345
